file.name,database,uri,sub.database,pathway.id,pathway.name,macromolecule.ID.type,simple.chemical.ID.type
http___identifiers.org_panther.pathway_P04396.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04396,panther.pathway,P04396,Vitamin D metabolism and pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04397.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04397,panther.pathway,P04397,p53 pathway by glucose deprivation,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P04398.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P04398,panther.pathway,P04398,p53 pathway feedback loops 2,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05726.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05726,panther.pathway,P05726, 5-arachidonylglycerol_biosynthesis,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05728.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05728,panther.pathway,P05728,Anandamide_degradation,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05729.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05729,panther.pathway,P05729,Bupropion_degradation,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05730.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05730,panther.pathway,P05730,Endogenous_cannabinoid_signaling,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05731.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05731,panther.pathway,P05731,GABA-B_receptor_II_signaling,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05734.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05734,panther.pathway,P05734,Synaptic_vesicle_trafficking,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05911.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05911,panther.pathway,P05911,Angiotensin_II-stimulated_signaling_through_G_proteins_and_beta-arrestin,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05912.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05912,panther.pathway,P05912,PNAT,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05913.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05913,panther.pathway,P05913,Enkephalin release,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05914.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05914,panther.pathway,P05914,Nicotine_degradation,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05915.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05915,panther.pathway,P05915,Opioid proenkephalin pathway,pathwayCommons,pathwayCommons
http___identifiers.org_panther.pathway_P05916.sbgn,pathwayCommons,http://identifiers.org/panther.pathway/P05916,panther.pathway,P05916,Opioid prodynorphin pathway,pathwayCommons,pathwayCommons
